filename,notes,authors,licenses,urls
body/bodies/female/light.png,"see details at https://opengameart.org/content/lpc-character-bases","Benjamin K. Smith (BenCreating),bluecarrot16,TheraHedwig,Evert,MuffinElZangano,Durrani,Pierre Vigier (pvigier),ElizaWy,Matthew Krohn (makrohn),Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-ladies,https://opengameart.org/content/lpc-7-womens-shirts,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-be-seated,https://opengameart.org/content/lpc-revised-character-basics,https://gitlab.com/vagabondgame/lpc-characters,https://opengameart.org/content/lpc-male-jumping-animation-by-durrani,https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle"
head/heads/human/male/light.png,"original head by Redshrike, tweaks by BenCreating, modular version by bluecarrot16","bluecarrot16,Benjamin K. Smith (BenCreating),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-character-bases"
hair/extensions/ponytails/topknot_long/adult/fg/blonde.png,"","JaidynReiman","OGA-BY 3.0+,CC-BY 3.0+,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-1-hairstyle-2-hair-extensions-3-previously-unofficially-released-hairstyles"
hair/extensions/ponytails/topknot_long/adult/bg/blonde.png,"","JaidynReiman","OGA-BY 3.0+,CC-BY 3.0+,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-1-hairstyle-2-hair-extensions-3-previously-unofficially-released-hairstyles"
hair/plain/adult/blonde.png,"","JaidynReiman,Manuel Riecke (MrBeast),Joe White","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/ponytail-and-plain-hairstyles,https://opengameart.org/content/lpc-expanded-hair"
torso/jacket/tabard/female/leather.png,"original by wulax, edited to female base by makrohn and JaidynReiman, edited to v3 base by bluecarrot16","JaidynReiman,Matthew Krohn (makrohn),Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-combat-armor-for-women,http://opengameart.org/content/lpc-clothing-updates"
feet/shoes/basic/thin/leather.png,"original by wulax, edited for female base by Joe White, edited for v3 base by bluecarrot16, Jump/Sit/Emote/Run/Revised Combat by JaidynReiman","JaidynReiman,Joe White,Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,http://opengameart.org/content/lpc-clothing-updates,https://opengameart.org/content/lpc-expanded-socks-shoes"
shield/heater/revised/wood/bg/oak.png,"","bluecarrot16,Sander Frenken (castelonia),ElizaWy,JaidynReiman","OGA-BY 3.0","https://opengameart.org/content/lpc-shields"
shield/heater/revised/wood/fg/oak.png,"","bluecarrot16,Sander Frenken (castelonia),ElizaWy,JaidynReiman","OGA-BY 3.0","https://opengameart.org/content/lpc-shields"
shield/heater/revised/trim/bg/steel.png,"","bluecarrot16,Sander Frenken (castelonia),ElizaWy,JaidynReiman","OGA-BY 3.0","https://opengameart.org/content/lpc-shields"
shield/heater/revised/trim/fg/steel.png,"","bluecarrot16,Sander Frenken (castelonia),ElizaWy,JaidynReiman","OGA-BY 3.0","https://opengameart.org/content/lpc-shields"
weapon/sword/arming/universal/fg/bronze.png,"","ElizaWy; walk and down by JaidynReiman","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Props/Sword%2001%20-%20Arming%20Sword,https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
weapon/sword/arming/universal/bg/bronze.png,"","ElizaWy; walk and down by JaidynReiman","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Props/Sword%2001%20-%20Arming%20Sword,https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
weapon/sword/arming/attack_slash/bg/bronze.png,"","ElizaWy; walk and down by JaidynReiman","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Props/Sword%2001%20-%20Arming%20Sword,https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
weapon/sword/arming/attack_slash/fg/bronze.png,"","ElizaWy; walk and down by JaidynReiman","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Props/Sword%2001%20-%20Arming%20Sword,https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
weapon/sword/arming/attack_backslash/bg/bronze.png,"","ElizaWy; walk and down by JaidynReiman","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Props/Sword%2001%20-%20Arming%20Sword,https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
weapon/sword/arming/attack_backslash/fg/bronze.png,"","ElizaWy; walk and down by JaidynReiman","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Props/Sword%2001%20-%20Arming%20Sword,https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
